device_id,model,grade,buyer_id,bid,on_time_pay_pct,pickup_days,cancellation_rate,distance_km
D011,MacBook Air M1,A,BUYER_A,39800,0.96,0.5,0.02,4
D011,MacBook Air M1,A,BUYER_E,41400,0.9,1.5,0.05,12
D011,MacBook Air M1,A,BUYER_C,40600,0.97,0.5,0.01,6
D012,MacBook Air M1,A,BUYER_C,32000,0.97,0.5,0.01,6
D012,MacBook Air M1,A,BUYER_A,31800,0.96,0.5,0.02,4
D012,MacBook Air M1,A,BUYER_D,33200,0.65,6.5,0.18,55
D012,MacBook Air M1,A,BUYER_B,36000,0.78,5.0,0.11,38
D013,iPhone 13 128GB,A,BUYER_D,24500,0.65,6.5,0.18,55
D013,iPhone 13 128GB,A,BUYER_F,25200,0.55,8.0,0.25,70
D013,iPhone 13 128GB,A,BUYER_A,23600,0.96,0.5,0.02,4
D014,iPhone 13 128GB,A,BUYER_C,37900,0.97,0.5,0.01,6
D014,iPhone 13 128GB,A,BUYER_D,40000,0.65,6.5,0.18,55
D014,iPhone 13 128GB,A,BUYER_F,36500,0.55,8.0,0.25,70
D014,iPhone 13 128GB,A,BUYER_E,34800,0.9,1.5,0.05,12
D015,iPhone 13 128GB,A,BUYER_D,23600,0.65,6.5,0.18,55
D015,iPhone 13 128GB,A,BUYER_E,22700,0.9,1.5,0.05,12
D016,iPhone 13 128GB,A,BUYER_C,36300,0.97,0.5,0.01,6
D016,iPhone 13 128GB,A,BUYER_E,35500,0.9,1.5,0.05,12
D016,iPhone 13 128GB,A,BUYER_F,37700,0.55,8.0,0.25,70
D016,iPhone 13 128GB,A,BUYER_A,36200,0.96,0.5,0.02,4
D017,iPhone 14 128GB,B,BUYER_E,37400,0.9,1.5,0.05,12
D017,iPhone 14 128GB,B,BUYER_D,39700,0.65,6.5,0.18,55
D017,iPhone 14 128GB,B,BUYER_F,39400,0.55,8.0,0.25,70
D017,iPhone 14 128GB,B,BUYER_B,38400,0.78,5.0,0.11,38
D018,iPhone 13 128GB,A,BUYER_A,37300,0.96,0.5,0.02,4
D018,iPhone 13 128GB,A,BUYER_C,35100,0.97,0.5,0.01,6
D019,iPad 9th gen,C,BUYER_A,18700,0.96,0.5,0.02,4
D019,iPad 9th gen,C,BUYER_C,18200,0.97,0.5,0.01,6
D019,iPad 9th gen,C,BUYER_F,18100,0.55,8.0,0.25,70
D019,iPad 9th gen,C,BUYER_D,18300,0.65,6.5,0.18,55
D020,MacBook Air M1,A,BUYER_A,33800,0.96,0.5,0.02,4
D020,MacBook Air M1,A,BUYER_F,33300,0.55,8.0,0.25,70
D020,MacBook Air M1,A,BUYER_D,33400,0.65,6.5,0.18,55
D021,iPhone 14 128GB,B,BUYER_F,18800,0.55,8.0,0.25,70
D021,iPhone 14 128GB,B,BUYER_C,17400,0.97,0.5,0.01,6
D022,Galaxy Tab S9,C,BUYER_A,19000,0.96,0.5,0.02,4
D022,Galaxy Tab S9,C,BUYER_B,20400,0.78,5.0,0.11,38
D022,Galaxy Tab S9,C,BUYER_C,19200,0.97,0.5,0.01,6
D022,Galaxy Tab S9,C,BUYER_F,19100,0.55,8.0,0.25,70
D023,Galaxy Tab S9,C,BUYER_C,13700,0.97,0.5,0.01,6
D023,Galaxy Tab S9,C,BUYER_E,13500,0.9,1.5,0.05,12
D023,Galaxy Tab S9,C,BUYER_F,14700,0.55,8.0,0.25,70
D023,Galaxy Tab S9,C,BUYER_A,14000,0.96,0.5,0.02,4
D024,Galaxy Tab S9,C,BUYER_B,24600,0.78,5.0,0.11,38
D024,Galaxy Tab S9,C,BUYER_F,22900,0.55,8.0,0.25,70
D024,Galaxy Tab S9,C,BUYER_D,23700,0.65,6.5,0.18,55
D024,Galaxy Tab S9,C,BUYER_C,23200,0.97,0.5,0.01,6
D025,iPhone 14 128GB,B,BUYER_C,26100,0.97,0.5,0.01,6
D025,iPhone 14 128GB,B,BUYER_B,29000,0.78,5.0,0.11,38
D025,iPhone 14 128GB,B,BUYER_F,29200,0.55,8.0,0.25,70
